keyword,category,era,geo,surge_number,rough_peak_date,rel_to_anchor,data_mode,event_start_date,event_end_date,peak_value,peak_width_days,time_to_peak_days,tight_pad_days,width_truncated,possible_weekly_resolution,never_decays_in_scope
Ayy lmao,age_proxy,baseline,global,1,8/1/2015,1,plain text (no entity match found),12/28/2014,7/24/2016,100,574,315,360,1,1,1
FeelsBadMan,age_proxy,baseline,global,1,7/1/2015,1,plain text (no entity match found),5/27/2015,6/2/2015,100,6,1,45,0,0,0
FeelsGoodMan,age_proxy,baseline,global,1,7/1/2015,1,plain text (no entity match found),5/28/2015,5/30/2015,100,2,1,45,0,0,0
MonkaS,age_proxy,baseline,global,1,1/1/2018,1,plain text (no entity match found),3/19/2017,12/29/2019,100,1015,301,1440,1,1,1
PogChamp,age_proxy,reels_covid,global,1,1/1/2021,1,plain text (no entity match found),1/6/2021,1/9/2021,100,3,1,45,0,0,0
Rekt,age_proxy,baseline,global,1,3/1/2015,1,plain text (no entity match found),1/1/2015,5/30/2015,100,149,45,90,1,0,1
N00b,age_proxy,baseline,global,1,7/1/2017,1,plain text (no entity match found),7/21/2017,7/27/2017,100,6,4,45,0,0,0
Leeroy Jenkins,age_proxy,baseline,global,1,5/1/2015,1,plain text (no entity match found),5/10/2015,5/14/2015,100,4,2,45,0,0,0
All your base are belong to us,age_proxy,baseline,global,1,2/1/2015,1,plain text (no entity match found),1/19/2015,3/1/2015,100,41,23,45,0,0,0
O RLY,age_proxy,baseline,global,1,1/1/2015,1,plain text (no entity match found),1/21/2015,1/24/2015,100,3,2,45,0,0,0
Fail whale,age_proxy,baseline,global,1,1/1/2015,0.6667,plain text (no entity match found),2/8/2015,2/10/2015,100,2,1,45,0,0,0
Fail whale,age_proxy,reels_covid,global,2,11/1/2022,1,plain text (no entity match found),11/17/2022,11/23/2022,100,6,4,45,0,0,0
Fail whale,age_proxy,ai_gen,global,3,5/1/2026,0.6667,plain text (no entity match found),6/6/2026,6/8/2026,100,2,1,45,0,0,0
U mad bro,age_proxy,baseline,global,1,2/1/2015,1,plain text (no entity match found),1/31/2015,2/4/2015,100,4,2,45,0,0,0
Heckin chonker,age_proxy,ai_gen,global,1,6/1/2023,1,plain text (no entity match found),6/3/2023,6/5/2023,100,2,1,45,0,0,0
Ight Imma head out,age_proxy,baseline,global,1,9/1/2019,1,plain text (no entity match found),8/28/2019,11/3/2019,100,67,3,90,0,0,0
Sad boi hours,age_proxy,baseline,global,1,11/1/2018,1,plain text (no entity match found),10/1/2018,10/3/2018,100,2,1,45,0,0,0
Sad boi hours,age_proxy,reels_covid,global,2,1/1/2020,1,plain text (no entity match found),1/24/2020,1/26/2020,100,2,1,45,0,0,0
Thot (slang),age_proxy,baseline,global,1,1/1/2015,1,plain text (no entity match found),2/7/2015,2/9/2015,100,2,1,45,0,0,0
Thot (slang),age_proxy,ai_gen,global,3,6/1/2023,1,plain text (no entity match found),6/10/2023,6/14/2023,100,4,1,45,0,0,0
Doot doot (meme),age_proxy,baseline,global,1,10/1/2018,1,plain text (no entity match found),9/30/2018,10/8/2018,100,8,3,45,0,0,0
Doot doot (meme),age_proxy,ai_gen,global,2,10/1/2025,1,plain text (no entity match found),9/2/2025,9/7/2025,100,5,3,45,0,0,0
Kermit sipping tea,age_proxy,baseline,global,1,6/1/2016,1,plain text (no entity match found),6/19/2016,6/24/2016,100,5,2,45,0,0,0
Loss (meme),age_proxy,baseline,global,1,6/1/2018,1,plain text (no entity match found),5/29/2018,7/31/2018,100,63,5,90,0,0,0
Woman yelling at cat,age_proxy,baseline,global,1,11/1/2019,1,plain text (no entity match found),10/27/2019,12/15/2019,100,49,13,45,0,0,0
Chocolate rain,age_proxy,baseline,global,1,2/1/2015,0.5833,plain text (no entity match found),1/1/2015,3/18/2015,100,76,35,45,1,0,1
Chocolate rain,age_proxy,reels_covid,global,2,6/1/2020,0.5,plain text (no entity match found),5/31/2020,6/7/2020,100,7,1,45,0,0,0
Chocolate rain,age_proxy,ai_gen,global,3,4/1/2026,1,plain text (no entity match found),9/28/2025,9/13/2026,100,350,196,180,1,1,1
Keyboard cat,age_proxy,ai_gen,global,1,4/1/2026,1,plain text (no entity match found),3/23/2026,6/7/2026,100,76,5,90,0,0,0
Peanut butter jelly time,age_proxy,baseline,global,1,9/1/2015,1,plain text (no entity match found),10/13/2015,10/18/2015,100,5,1,90,0,0,0
Peanut butter jelly time,age_proxy,reels_covid,global,2,5/1/2020,0.6667,plain text (no entity match found),4/20/2020,5/16/2020,100,26,11,45,0,0,0
Peanut butter jelly time,age_proxy,ai_gen,global,3,4/1/2023,0.5833,plain text (no entity match found),4/6/2023,4/22/2023,100,16,5,45,0,0,0
